test_id,current_folder,suggested_folder,summary,test_dir_name
OCP-43504,clusters,clusters,Check the validation for creating aws-css/rosa cluster with the BYOK encryption by rosa-cli,OCP-43504_check-the-validation-for-creating-aws-css-rosa-cluster-with-the-byok-encryption
OCP-45159,clusters,clusters,User can disable workload monitoring on/off via rosa-cli,OCP-45159_user-can-disable-workload-monitoring-on-off-via-rosa-cli
OCP-45161,clusters,clusters,Allow sts cluster installation with compatible policies,OCP-45161_allow-sts-cluster-installation-with-compatible-policies
OCP-45176,clusters,clusters,It should fail to create the sts cluster with the version not compatible with the role version,OCP-45176_it-should-fail-to-create-the-sts-cluster-with-the-version-not-compatible-with-th
OCP-45502,clusters,clusters,Rosa cluster with proxy will be created succeed via rosacli,OCP-45502_rosa-cluster-with-proxy-will-be-created-succeed-via-rosacli
OCP-86415,clusters,clusters,Create hosted-cp cluster with log forwarding via rosacli by command,OCP-86415_create-hosted-cp-cluster-with-log-forwarding-via-rosacli-by-command
OCP-88311,clusters,clusters,Create/Edit/Describe clusters with channel flag by command,OCP-88311_create-edit-describe-clusters-with-channel-flag-by-command
OCP-38850,general,general,"Restrict master API endpoint to direct, private connectivity or not",OCP-38850_restrict-master-api-endpoint-to-direct-private-connectivity-or-not
OCP-38851,general,general,Verify permissions/quota/oc and version via the rosa cli,OCP-38851_verify-permissions-quota-oc-and-version-via-the-rosa-cli
OCP-38854,general,general,Check all commands with the --profile/--debug/-v flag and the request header,OCP-38854_check-all-commands-with-the-profile-debug-v-flag-and-the-request-header
OCP-38858,general,general,"check the preparation steps incuding'rosa init','rosa download','rosa whoami','rosa login/logout'",OCP-38858_check-the-preparation-steps-incuding-rosa-init-rosa-download-rosa-whoami-rosa-lo
OCP-42832,hibernation,hibernation,Hibernate/resume cluster by rosa-cli,OCP-42832_hibernate-resume-cluster-by-rosa-cli
OCP-35896,idps,idps,Create/List/Delete IDPs for MOA clusters by the rosa tool,OCP-35896_create-list-delete-idps-for-moa-clusters-by-the-rosa-tool
OCP-38781,idps,idps,Create the IDPs in the interactive mode by the rosa cli,OCP-38781_create-the-idps-in-the-interactive-mode-by-the-rosa-cli
OCP-38786,idps,idps,Create the IDPs by the rosa cli command,OCP-38786_create-the-idps-by-the-rosa-cli-command
OCP-38788,idps,idps,Check the help message and the validation for the IDP creation commands by the rosa cli,OCP-38788_check-the-help-message-and-the-validation-for-the-idp-creation-commands-by-the-r
OCP-38835,ingresses,ingresses,List/Edit the default ingress on ROSA cluster via rosa-cli will succeed,OCP-38835_list-edit-the-default-ingress-on-rosa-cluster-via-rosa-cli-will-succeed
OCP-38837,ingresses,ingresses,Edit an additional ingress to a ROSA cluster via rosa-cli validate correctly,OCP-38837_edit-an-additional-ingress-to-a-rosa-cluster-via-rosa-cli-validate-correctly
OCP-37626,init,init,Check some failure during 'rosa init',OCP-37626_check-some-failure-during-rosa-init
OCP-42053,instance-types,instance-types,Instance types can be listed by ROSA cli,OCP-42053_instance-types-can-be-listed-by-rosa-cli
OCP-86416,log-forwarders,log-forwarders,Create log forwarding as day-1 and day-2 on hosted cluster via rosacli in the interactive mode,OCP-86416_create-log-forwarding-as-day-1-and-day-2-on-hosted-cluster-via-rosacli-in-the-in
OCP-86448,log-forwarders,log-forwarders,Create/Edit/List/Describe/Delete log forwarders on hosted-cp cluster by command,OCP-86448_create-edit-list-describe-delete-log-forwarders-on-hosted-cp-cluster-by-command
OCP-36293,machine-pools,machine-pools,Create/List/Delete machine pool to the rosa cluster will succeed,OCP-36293_create-list-delete-machine-pool-to-the-rosa-cluster-will-succeed
OCP-38195,machine-pools,machine-pools,Create the new machinepool with the autoscaling via the rosa cli in the interactive mode,OCP-38195_create-the-new-machinepool-with-the-autoscaling-via-the-rosa-cli-in-the-interact
OCP-38774,machine-pools,machine-pools,Create machine pool to the ROSA cluster via rosacli interactive mode will succeed,OCP-38774_create-machine-pool-to-the-rosa-cluster-via-rosacli-interactive-mode-will-succee
OCP-38775,machine-pools,machine-pools,Validations will work for machine pool creation via rosa cli,OCP-38775_validations-will-work-for-machine-pool-creation-via-rosa-cli
OCP-38783,machine-pools,machine-pools,Validation for deletion machinepool of ROSA cluster will work via rosacli,OCP-38783_validation-for-deletion-machinepool-of-rosa-cluster-will-work-via-rosacli
OCP-38838,machine-pools,machine-pools,Edit machine pool to the rosa cluster will succeed,OCP-38838_edit-machine-pool-to-the-rosa-cluster-will-succeed
OCP-38839,machine-pools,machine-pools,Edit machine pool to the ROSA cluster via rosacli interactive mode will succeed,OCP-38839_edit-machine-pool-to-the-rosa-cluster-via-rosacli-interactive-mode-will-succeed
OCP-38840,machine-pools,machine-pools,Validations for the single-az rosa cluster will work for machine pool edit via rosa cli,OCP-38840_validations-for-the-single-az-rosa-cluster-will-work-for-machine-pool-edit-via-r
OCP-43251,machine-pools,machine-pools,User can create spot machine pool via rosacli,OCP-43251_user-can-create-spot-machine-pool-via-rosacli
OCP-43252,machine-pools,machine-pools,Validation will work well when user create spot machine pool via rosacli,OCP-43252_validation-will-work-well-when-user-create-spot-machine-pool-via-rosacli
OCP-43253,machine-pools,machine-pools,User can create spot machine pool via rosacli interactive mode,OCP-43253_user-can-create-spot-machine-pool-via-rosacli-interactive-mode
OCP-44776,machine-pools,machine-pools,Validations for the multi-az rosa cluster will work for machine pool edit via rosa cli,OCP-44776_validations-for-the-multi-az-rosa-cluster-will-work-for-machine-pool-edit-via-ro
OCP-38194,moacli,machine-pools,Enable/disable/update the worker pool autoscaling via the rosa cli,OCP-38194_enable-disable-update-the-worker-pool-autoscaling-via-the-rosa-cli
OCP-41824,moacli,operator-roles,Validations should work for the Role Arn and Operator IAM roles,OCP-41824_validations-should-work-for-the-role-arn-and-operator-iam-roles
OCP-45509,moacli,clusters,Validation will work when create clusters with invalid proxy via rosacli,OCP-45509_validation-will-work-when-create-clusters-with-invalid-proxy-via-rosacli
OCP-45742,moacli,clusters,ROSA cli will check the pre-existing roles when create sts cluster,OCP-45742_rosa-cli-will-check-the-pre-existing-roles-when-create-sts-cluster
OCP-45744,moacli,upgrades,Upgrade the sts clusters with checking if the current policies are compatible,OCP-45744_upgrade-the-sts-clusters-with-checking-if-the-current-policies-are-compatible
OCP-45745,moacli,upgrades,Upgrade account roles and operator roles then upgrade the cluster via rosalci in auto mode,OCP-45745_upgrade-account-roles-and-operator-roles-then-upgrade-the-cluster-via-rosalci-in
OCP-46111,moacli,idps,Check the help message and the validation for the IDP creation by the rosa cli in the interactive mode,OCP-46111_check-the-help-message-and-the-validation-for-the-idp-creation-by-the-rosa-cli-i
OCP-46187,moacli,ocm-roles,User can create/delete/unlink/link ocm-roles in auto mode via rosacli by command,OCP-46187_user-can-create-delete-unlink-link-ocm-roles-in-auto-mode-via-rosacli-by-command
OCP-46188,moacli,ocm-roles,User can create ocm-roles via rosacli in the interactive mode,OCP-46188_user-can-create-ocm-roles-via-rosacli-in-the-interactive-mode
OCP-46281,moacli,ocm-roles,Create/Linked/Delete user-role/ocm-role across the account/org,OCP-46281_create-linked-delete-user-role-ocm-role-across-the-account-org
OCP-46282,moacli,user-roles,User can create user-role via rosacli in the interactive mode,OCP-46282_user-can-create-user-role-via-rosacli-in-the-interactive-mode
OCP-46308,moacli,clusters,BYO-VPC rosa cluster can edit proxy via rosacli,OCP-46308_byo-vpc-rosa-cluster-can-edit-proxy-via-rosacli
OCP-46310,moacli,clusters,Validation will work when edit clusters with proxy via rosacli,OCP-46310_validation-will-work-when-edit-clusters-with-proxy-via-rosacli
OCP-46312,moacli,clusters,Rosa cluster with fips enabled can be created successfully via rosacli,OCP-46312_rosa-cluster-with-fips-enabled-can-be-created-successfully-via-rosacli
OCP-48119,moacli,upgrades,Upgrade cluster to version which has version gate in interactive mode,OCP-48119_upgrade-cluster-to-version-which-has-version-gate-in-interactive-mode
OCP-48958,moacli,general,Regression testing on the cluster created by previous version rosacli,OCP-48958_regression-testing-on-the-cluster-created-by-previous-version-rosacli
OCP-49136,moacli,idps,Create/Delete the HTPasswd IDPs in the interactive mode by the rosacli,OCP-49136_create-delete-the-htpasswd-idps-in-the-interactive-mode-by-the-rosacli
OCP-49137,moacli,idps,Create/Delete the HTPasswd IDPs by the rosacli command,OCP-49137_create-delete-the-htpasswd-idps-by-the-rosacli-command
OCP-51431,moacli,general,Interoperability testing on the cluster created by OCM UI,OCP-51431_interoperability-testing-on-the-cluster-created-by-ocm-ui
OCP-52106,moacli,ocm-roles,Check non-enforcing the user-role/ocm-role via rosacli,OCP-52106_check-non-enforcing-the-user-role-ocm-role-via-rosacli
OCP-52352,moacli,clusters,SingleAZ machinepool can be created to MZ cluster via rosacli,OCP-52352_singleaz-machinepool-can-be-created-to-mz-cluster-via-rosacli
OCP-52419,moacli,user-roles,User can create/link/unlink/delete user-role in auto mode via rosacli by command,OCP-52419_user-can-create-link-unlink-delete-user-role-in-auto-mode-via-rosacli-by-command
OCP-52580,moacli,user-roles,Validations for create/link/unlink user-role by the rosacli command,OCP-52580_validations-for-create-link-unlink-user-role-by-the-rosacli-command
OCP-52690,moacli,general,Common usability testing for rosacli,OCP-52690_common-usability-testing-for-rosacli
OCP-52691,moacli,clusters,User can set availability zones to create rosa cluster,OCP-52691_user-can-set-availability-zones-to-create-rosa-cluster
OCP-52692,moacli,clusters,Validation should work when user set availability zones to create rosa cluster,OCP-52692_validation-should-work-when-user-set-availability-zones-to-create-rosa-cluster
OCP-52693,moacli,user-roles,User can create/delete user-roles with manual mode via rosacli by command,OCP-52693_user-can-create-delete-user-roles-with-manual-mode-via-rosacli-by-command
OCP-52695,moacli,clusters,Availabilty zone and subnets cannot be selected at the same time when create cluster in interactive mode,OCP-52695_availabilty-zone-and-subnets-cannot-be-selected-at-the-same-time-when-create-clu
OCP-52763,moacli,machine-pools,User can create machinepool with the single subnet specified on BYOVPC cluster via rosacli in the interactive mode,OCP-52763_user-can-create-machinepool-with-the-single-subnet-specified-on-byovpc-cluster-v
OCP-52764,moacli,machine-pools,User can create machinepool with the single subnet specified on multi-az BYOVPC cluster via the rosacli command,OCP-52764_user-can-create-machinepool-with-the-single-subnet-specified-on-multi-az-byovpc
OCP-53031,moacli,idps,Validation for Create/Delete the HTPasswd IDPs by the rosacli command,OCP-53031_validation-for-create-delete-the-htpasswd-idps-by-the-rosacli-command
OCP-53569,moacli,clusters,Create STS cluster with account roles/policies unified path via rosacli in the interactive mode and manual mode,OCP-53569_create-sts-cluster-with-account-roles-policies-unified-path-via-rosacli-in-the-i
OCP-53570,moacli,clusters,Create STS cluster with account roles/policies unified path by the rosacli commands in auto mode,OCP-53570_create-sts-cluster-with-account-roles-policies-unified-path-by-the-rosacli-comma
OCP-53574,moacli,upgrades,Upgrade STS cluster which account roles have the unified path set via rosacli in the interactive mode and manual mode,OCP-53574_upgrade-sts-cluster-which-account-roles-have-the-unified-path-set-via-rosacli-in
OCP-53735,moacli,ocm-roles,Create/delete/unlink/link ocm-roles with setting path in manual mode via rosacli (including interative mode),OCP-53735_create-delete-unlink-link-ocm-roles-with-setting-path-in-manual-mode-via-rosacli
OCP-53953,moacli,addons,Addon lifecycle can work well via rosacli,OCP-53953_addon-lifecycle-can-work-well-via-rosacli
OCP-54276,moacli,clusters,Check the region constrains during rosa cluster creation via rosacli,OCP-54276_check-the-region-constrains-during-rosa-cluster-creation-via-rosacli
OCP-54413,moacli,clusters,Create/Delete basic single AZ hosted cluster,OCP-54413_create-delete-basic-single-az-hosted-cluster
OCP-54414,moacli,clusters,Check the validation for creating ROSA HCP clusters by rosacli command,OCP-54414_check-the-validation-for-creating-rosa-hcp-clusters-by-rosacli-command
OCP-54415,moacli,clusters,Create Hypershift cluster via rosacli in the interactive mode,OCP-54415_create-hypershift-cluster-via-rosacli-in-the-interactive-mode
OCP-54469,moacli,account-roles,Create/Upgrade account-roles by setting version and channel-group via rosacli,OCP-54469_create-upgrade-account-roles-by-setting-version-and-channel-group-via-rosacli
OCP-54864,moacli,clusters,Create hypershift cluster in version lower than the minimal version via rosacli will fail,OCP-54864_create-hypershift-cluster-in-version-lower-than-the-minimal-version-via-rosacli
OCP-54869,moacli,clusters,rosacli can show the details of hypershift cluster well when describe,OCP-54869_rosacli-can-show-the-details-of-hypershift-cluster-well-when-describe
OCP-55613,moacli,version,`rosa version` should output the current version of the client and the latest available version along with a link to download it,OCP-55613_rosa-version-should-output-the-current-version-of-the-client-and-the-latest-avai
OCP-55701,moacli,clusters,rosacli makes STS cluster by default,OCP-55701_rosacli-makes-sts-cluster-by-default
OCP-55729,moacli,regions,List regions via rosacli command,OCP-55729_list-regions-via-rosacli-command
OCP-55883,moacli,upgrades,Users can upgrade STS rosa cluster across Y stream via ROSA cli in auto mode,OCP-55883_users-can-upgrade-sts-rosa-cluster-across-y-stream-via-rosa-cli-in-auto-mode
OCP-55884,moacli,upgrades,Users can upgrade STS rosa cluster across Y stream via ROSA cli in interactive manual mode,OCP-55884_users-can-upgrade-sts-rosa-cluster-across-y-stream-via-rosa-cli-in-interactive-m
OCP-55979,moacli,machine-pools,SingleAZ machinepool on local zone can be created on BYOVPC rosa clusters via rosacli,OCP-55979_singleaz-machinepool-on-local-zone-can-be-created-on-byovpc-rosa-clusters-via-ro
OCP-55980,moacli,machine-pools,Check the validations for the SingleAZ machinepool creation on local zone on BYOVPC rosa clusters via rosacli,OCP-55980_check-the-validations-for-the-singleaz-machinepool-creation-on-local-zone-on-byo
OCP-55995,moacli,general,Common usability testing for managed service on rosa client,OCP-55995_common-usability-testing-for-managed-service-on-rosa-client
OCP-56052,moacli,clusters,`rosa describe cluster` reports Limited Support status,OCP-56052_rosa-describe-cluster-reports-limited-support-status
OCP-56119,moacli,upgrades,Users can upgrade STS rosa cluster with not-standard suffix acc roles OR more than one policies attached via ROSA cli after upgrade wide AMI roles by `rosa upgrade roles`,OCP-56119_users-can-upgrade-sts-rosa-cluster-with-not-standard-suffix-acc-roles-or-more-th
OCP-56224,moacli,clusters,User can set availability zones to create rosa multi-az STS cluster,OCP-56224_user-can-set-availability-zones-to-create-rosa-multi-az-sts-cluster
OCP-56241,moacli,upgrades,Users can upgrade NON-STS rosa cluster via ROSA cli in the interactive mode,OCP-56241_users-can-upgrade-non-sts-rosa-cluster-via-rosa-cli-in-the-interactive-mode
OCP-56255,moacli,upgrades,Upgrade account roles and operator roles then upgrade cluster via rosacli in interactive and manual mode,OCP-56255_upgrade-account-roles-and-operator-roles-then-upgrade-cluster-via-rosacli-in-int
OCP-56440,moacli,clusters,Validations for the '--tags' flag during creating cluster via rosacli,OCP-56440_validations-for-the-tags-flag-during-creating-cluster-via-rosacli
OCP-56749,moacli,machine-pools,Create machine pool to the ROSA Hypershift cluster via rosacli in interactive mode,OCP-56749_create-machine-pool-to-the-rosa-hypershift-cluster-via-rosacli-in-interactive-mo
OCP-56776,moacli,machine-pools,Edit machine pool to the ROSA Hypershift cluster via rosacli interactive mode will succeed,OCP-56776_edit-machine-pool-to-the-rosa-hypershift-cluster-via-rosacli-interactive-mode-wi
OCP-56778,moacli,machine-pools,Edit machine pool to the ROSA Hypershift cluster will succeed,OCP-56778_edit-machine-pool-to-the-rosa-hypershift-cluster-will-succeed
OCP-56782,moacli,machine-pools,Create/Edit/List/Delete machine pool to the ROSA Hypershift cluster will succeed,OCP-56782_create-edit-list-delete-machine-pool-to-the-rosa-hypershift-cluster-will-succeed
OCP-56783,moacli,machine-pools,Validation for deletion machinepool of ROSA Hypershift cluster will work via rosacli,OCP-56783_validation-for-deletion-machinepool-of-rosa-hypershift-cluster-will-work-via-ros
OCP-56786,moacli,machine-pools,Validations will work for machine pool creation for ROSA Hypershift cluster via rosa cli,OCP-56786_validations-will-work-for-machine-pool-creation-for-rosa-hypershift-cluster-via
OCP-57056,moacli,clusters,Create ROSA cluster with default-mp-labels option will succeed,OCP-57056_create-rosa-cluster-with-default-mp-labels-option-will-succeed
OCP-57091,moacli,clusters,Validate default-mp-labels option for ROSA cluster creation in interactive mode,OCP-57091_validate-default-mp-labels-option-for-rosa-cluster-creation-in-interactive-mode
OCP-57092,moacli,clusters,Create ROSA cluster with default-mp-labels option will succeed in interactive mode,OCP-57092_create-rosa-cluster-with-default-mp-labels-option-will-succeed-in-interactive-mo
OCP-57094,moacli,upgrades,Describe/List rosa upgrade via rosacli,OCP-57094_describe-list-rosa-upgrade-via-rosacli
OCP-57102,moacli,machine-pools,Edit the Default machine pool labels with rosacli will succeed,OCP-57102_edit-the-default-machine-pool-labels-with-rosacli-will-succeed
OCP-57103,moacli,machine-pools,Edit the Default machine pool labels with rosacli in interactive mode will succeed,OCP-57103_edit-the-default-machine-pool-labels-with-rosacli-in-interactive-mode-will-succe
OCP-57104,moacli,machine-pools,Validate Default machine pool labels with rosacli in interactive mode,OCP-57104_validate-default-machine-pool-labels-with-rosacli-in-interactive-mode
OCP-57105,moacli,machine-pools,Validate Default machine pool labels/taits with rosacli,OCP-57105_validate-default-machine-pool-labels-taits-with-rosacli
OCP-57408,moacli,account-roles,Create/Delete/List account-roles with managed account-roles policies,OCP-57408_create-delete-list-account-roles-with-managed-account-roles-policies
OCP-57410,moacli,operator-roles,Create/Delete clusters/operator roles with managed operator roles policies,OCP-57410_create-delete-clusters-operator-roles-with-managed-operator-roles-policies
OCP-57441,moacli,upgrades,Upgrade account-roles with the managed policies should be forbidden,OCP-57441_upgrade-account-roles-with-the-managed-policies-should-be-forbidden
OCP-57442,moacli,upgrades,Upgrade operator-roles with the managed policies,OCP-57442_upgrade-operator-roles-with-the-managed-policies
OCP-57444,moacli,upgrades,Upgrade wide AMI roles with the managed policies in auto mode,OCP-57444_upgrade-wide-ami-roles-with-the-managed-policies-in-auto-mode
OCP-57570,moacli,oidc-config,Create/List/Delete BYO oidc config in auto mode via rosacli,OCP-57570_create-list-delete-byo-oidc-config-in-auto-mode-via-rosacli
OCP-59430,moacli,autoscalers,Enable/disable/update the autoscaling for Hypershift cluster via the rosa cli,OCP-59430_enable-disable-update-the-autoscaling-for-hypershift-cluster-via-the-rosa-cli
OCP-59530,moacli,clusters,Creat BYO oidc cluster via rosacli,OCP-59530_creat-byo-oidc-cluster-via-rosacli
OCP-59547,moacli,account-roles,Validation for the managed policy attached on the managed account-roles,OCP-59547_validation-for-the-managed-policy-attached-on-the-managed-account-roles
OCP-59551,moacli,account-roles,Force to create operator roles and account-roles to ensure the policies action updated,OCP-59551_force-to-create-operator-roles-and-account-roles-to-ensure-the-policies-action-u
OCP-60082,moacli,clusters,Create cluster with the BYOK encryption by rosa-cli,OCP-60082_create-cluster-with-the-byok-encryption-by-rosa-cli
OCP-60083,moacli,clusters,Create cluster with the KMS and etcd encryption for hypershift clusters by rosa-cli,OCP-60083_create-cluster-with-the-kms-and-etcd-encryption-for-hypershift-clusters-by-rosa
OCP-60084,moacli,clusters,Check the validation for creating ROSA Hypershift cluster with the KMS and etcd encryption by rosa-cli,OCP-60084_check-the-validation-for-creating-rosa-hypershift-cluster-with-the-kms-and-etcd
OCP-60202,moacli,machine-pools,Create machine pool to the ROSA Hypershift cluster with subnets via rosacli is succeed,OCP-60202_create-machine-pool-to-the-rosa-hypershift-cluster-with-subnets-via-rosacli-is-s
OCP-60275,moacli,clusters,User can edit cluster via rosa-cli,OCP-60275_user-can-edit-cluster-via-rosa-cli
OCP-60278,moacli,machine-pools,Scaling up/down node pool on the hypershift rosa cluster,OCP-60278_scaling-up-down-node-pool-on-the-hypershift-rosa-cluster
OCP-60688,moacli,clusters,Reuse the operator-roles to creat BYO oidc cluster via rosacli,OCP-60688_reuse-the-operator-roles-to-creat-byo-oidc-cluster-via-rosacli
OCP-60956,moacli,operator-roles,Delete BYO operator-roles/oidc via rosacli by command,OCP-60956_delete-byo-operator-roles-oidc-via-rosacli-by-command
OCP-60971,moacli,operator-roles,Create operator-roles prior to cluster creation,OCP-60971_create-operator-roles-prior-to-cluster-creation
OCP-61138,moacli,machine-pools,"Support \""version\"" parameter on nodepools in hosted clusters",OCP-61138_support-version-parameter-on-nodepools-in-hosted-clusters
OCP-61139,moacli,machine-pools,Validation of Version parameter should work well for nodepool creation/editing,OCP-61139_validation-of-version-parameter-should-work-well-for-nodepool-creation-editing
OCP-61322,moacli,account-roles,Create/Delete hypershift account roles with managed policies,OCP-61322_create-delete-hypershift-account-roles-with-managed-policies
OCP-61551,moacli,clusters,Create hypershift cluster with the hypershift account roles,OCP-61551_create-hypershift-cluster-with-the-hypershift-account-roles
OCP-62010,moacli,operator-roles,Create/register/List/Delete BYO oidc config/oidc-provder and create/delete BYO operator-roles via rosacli in manual/interative mode,OCP-62010_create-register-list-delete-byo-oidc-config-oidc-provder-and-create-delete-byo-o
OCP-62083,moacli,account-roles,Delete account-roles with --hosted-cp and --classic,OCP-62083_delete-account-roles-with-hosted-cp-and-classic
OCP-62088,moacli,ocp-versions,List versions can work correctly for hosted-cp cluster via ROSA cli,OCP-62088_list-versions-can-work-correctly-for-hosted-cp-cluster-via-rosa-cli
OCP-62161,moacli,upgrades,Check the validation for the attached managed policies missing on the hypershift AMI roles during upgrade,OCP-62161_check-the-validation-for-the-attached-managed-policies-missing-on-the-hypershift
OCP-62573,moacli,operator-roles,List operator-roles,OCP-62573_list-operator-roles
OCP-62929,moacli,upgrades,Manual upgrade policies creation/describe/delete can be work well for hypershift clusters via rosacli,OCP-62929_manual-upgrade-policies-creation-describe-delete-can-be-work-well-for-hypershift
OCP-63164,moacli,tuning-configs,Tuning config can be created/updated/deleted to hosted cluster,OCP-63164_tuning-config-can-be-created-updated-deleted-to-hosted-cluster
OCP-63169,moacli,tuning-configs,Tuning config validation can work well when create to hosted cluster,OCP-63169_tuning-config-validation-can-work-well-when-create-to-hosted-cluster
OCP-63174,moacli,tuning-configs,Tuning config can validate well when update to hosted cluster,OCP-63174_tuning-config-can-validate-well-when-update-to-hosted-cluster
OCP-63175,moacli,tuning-configs,Tuning config can be created/updated to hosted cluster in interactive mode,OCP-63175_tuning-config-can-be-created-updated-to-hosted-cluster-in-interactive-mode
OCP-63178,moacli,machine-pools,Create Nodepool with tuning config,OCP-63178_create-nodepool-with-tuning-config
OCP-63179,moacli,machine-pools,Create Nodepool with tuning config will validate well,OCP-63179_create-nodepool-with-tuning-config-will-validate-well
OCP-63181,moacli,machine-pools,Create Nodepool with tuning config in interactive mode,OCP-63181_create-nodepool-with-tuning-config-in-interactive-mode
OCP-63323,moacli,ingresses,Edit the default ingress on Hypershift cluster via rosa-cli,OCP-63323_edit-the-default-ingress-on-hypershift-cluster-via-rosa-cli
OCP-63471,moacli,clusters,Create a classic cluster with imdsv2 via Rosa cli,OCP-63471_create-a-classic-cluster-with-imdsv2-via-rosa-cli
OCP-63826,moacli,operator-roles,Create/List operator-roles prior to cluster creation in the interactive mode and manual mode,OCP-63826_create-list-operator-roles-prior-to-cluster-creation-in-the-interactive-mode-and
OCP-63828,moacli,clusters,User can edit cluster via rosa-cli in interactive mode,OCP-63828_user-can-edit-cluster-via-rosa-cli-in-interactive-mode
OCP-63843,moacli,account-roles,Create/Delete hypershift account roles with managed policies in interactive mode and manual mode,OCP-63843_create-delete-hypershift-account-roles-with-managed-policies-in-interactive-mode
OCP-64040,moacli,general,Test ROSA window certificates expiration,OCP-64040_test-rosa-window-certificates-expiration
OCP-64078,moacli,clusters,Validations for the '--ec2-metadata-http-tokens' flag during creating cluster via rosacli,OCP-64078_validations-for-the-ec2-metadata-http-tokens-flag-during-creating-cluster-via-ro
OCP-64187,moacli,upgrades,Automatic upgrade can be scheduled and described on hosted-cp cluster via rosacli,OCP-64187_automatic-upgrade-can-be-scheduled-and-described-on-hosted-cp-cluster-via-rosacl
OCP-64188,moacli,upgrades,Automatic/Manual upgrade on hosted-cp cluster via rosacli in the interactive mode,OCP-64188_automatic-manual-upgrade-on-hosted-cp-cluster-via-rosacli-in-the-interactive-mod
OCP-64491,moacli,clusters,Create and edit hosted-cp cluster with AuditLog Forwarding enabled/disabled via rosacli,OCP-64491_create-and-edit-hosted-cp-cluster-with-auditlog-forwarding-enabled-disabled-via
OCP-64494,moacli,clusters,Create and edit hosted-cp cluster with AuditLog Forwarding enabled/disabled via rosacli in the interactive mode,OCP-64494_create-and-edit-hosted-cp-cluster-with-auditlog-forwarding-enabled-disabled-via
OCP-64620,moacli,oidc-config,Register unmanaged BYO oidc config via rosacli command,OCP-64620_register-unmanaged-byo-oidc-config-via-rosacli-command
